Date,Predicted
2017-04-13,41913.00023069927
2017-04-14,41926.73825896812
2017-04-17,41941.05470308219
2017-04-18,41955.824611539036
2017-04-19,41970.95002531592
2017-04-20,41986.3541468558
2017-04-21,42001.97676869028
2017-04-24,42017.770689588055
2017-04-25,42033.698904900135
2017-04-26,42049.73240385689
2017-04-27,42065.84844270105
2017-04-28,42082.029190864814
2017-05-02,42098.260669604744
2017-05-04,42114.531919916575
2017-05-08,42130.83435020016
2017-05-10,42147.16122484417
2017-05-11,42163.50726328863
2017-05-12,42179.868325699405
2017-05-15,42196.24116654445
2017-05-16,42212.6232414034
2017-05-17,42229.01255551085
2017-05-18,42245.40754501792
2017-05-19,42261.80698390407
2017-05-22,42278.20991099818
2017-05-23,42294.61557276484
2017-05-24,42311.02337845009
2017-05-25,42327.43286491682
2017-05-26,42343.84366907647
2017-05-29,42360.25550627622
2017-05-30,42376.66815335496
2017-05-31,42393.08143535969
2017-06-01,42409.49521513136
2017-06-02,42425.909385140556
2017-06-05,42442.323861086734
2017-06-07,42458.73857688027
2017-06-08,42475.15348070847
2017-06-09,42491.568531951394
2017-06-12,42507.98369876397
2017-06-13,42524.398956180434
2017-06-14,42540.81428462819
2017-06-15,42557.229668762804
2017-06-16,42573.645096554596
2017-06-19,42590.060558572586
2017-06-20,42606.47604742311
2017-06-21,42622.8915573097
2017-06-22,42639.307083688065
2017-06-23,42655.7226229956
2017-06-26,42672.13817243929
2017-06-27,42688.553729829495
2017-06-28,42704.96929344957
2017-06-29,42721.38486195372
2017-06-30,42737.800434286866
2017-07-03,42754.21600962186
2017-07-04,42770.63158731023
2017-07-05,42787.047166843586
2017-07-06,42803.462747823374
2017-07-07,42819.87832993713
2017-07-10,42836.29391293989
2017-07-11,42852.7094966396
2017-07-12,42869.125080885715
2017-07-13,42885.54066556019
2017-07-14,42901.956250570496
2017-07-17,42918.37183584408
2017-07-18,42934.78742132407
2017-07-19,42951.20300696588
2017-07-20,42967.61859273454
2017-07-21,42984.03417860266
2017-07-24,43000.44976454876
2017-07-25,43016.86535055598
2017-07-26,43033.28093661112
2017-07-27,43049.69652270383
2017-07-28,43066.112108826
2017-07-31,43082.52769497126
2017-08-01,43098.94328113462
2017-08-02,43115.35886731217
2017-08-03,43131.774453500846
2017-08-04,43148.190039698246
2017-08-07,43164.605625902484
2017-08-08,43181.021212112086
2017-08-09,43197.43679832589
2017-08-10,43213.852384542995
2017-08-11,43230.26797076268
2017-08-14,43246.68355698439
2017-08-16,43263.099143207684
2017-08-17,43279.51472943222
2017-08-18,43295.93031565774
2017-08-21,43312.34590188402
2017-08-22,43328.761488110904
2017-08-23,43345.17707433826
2017-08-24,43361.59266056598
2017-08-25,43378.00824679399
2017-08-28,43394.42383302222
2017-08-29,43410.83941925064
2017-08-30,43427.255005479194
2017-08-31,43443.67059170786
2017-09-01,43460.0861779366
2017-09-04,43476.50176416542
2017-09-05,43492.91735039429
2017-09-06,43509.3329366232
2017-09-07,43525.74852285214
2017-09-08,43542.16410908111
2017-09-11,43558.579695310094
2017-09-12,43574.99528153909
2017-09-13,43591.41086776811
2017-09-14,43607.82645399713
2017-09-15,43624.242040226156
2017-09-18,43640.65762645519
2017-09-19,43657.073212684234
2017-09-20,43673.48879891328
2017-09-21,43689.90438514233
2017-09-22,43706.31997137138
2017-09-25,43722.73555760043
2017-09-26,43739.15114382948
2017-09-27,43755.566730058534
2017-09-28,43771.98231628759
2017-09-29,43788.39790251665
2017-10-10,43804.813488745705
2017-10-11,43821.22907497476
2017-10-12,43837.64466120382
2017-10-13,43854.06024743288
2017-10-16,43870.475833661934
2017-10-17,43886.89141989099
2017-10-18,43903.30700612005
2017-10-19,43919.722592349106
2017-10-20,43936.13817857816
2017-10-23,43952.55376480722
2017-10-24,43968.96935103628
2017-10-25,43985.384937265335
2017-10-26,44001.80052349439
2017-10-27,44018.21610972345
2017-10-30,44034.63169595251
2017-10-31,44051.047282181564
2017-11-01,44067.46286841062
2017-11-02,44083.87845463968
2017-11-03,44100.294040868735
2017-11-06,44116.70962709779
2017-11-07,44133.12521332685
2017-11-08,44149.54079955591
2017-11-09,44165.956385784964
2017-11-10,44182.37197201402
2017-11-13,44198.78755824308
2017-11-14,44215.203144472136
2017-11-15,44231.61873070119
2017-11-16,44248.03431693025
2017-11-17,44264.44990315931
2017-11-20,44280.865489388365
2017-11-21,44297.28107561742
2017-11-22,44313.69666184648
2017-11-23,44330.11224807554
2017-11-24,44346.527834304594
2017-11-27,44362.94342053365
2017-11-28,44379.35900676271
2017-11-29,44395.774592991766
2017-11-30,44412.19017922082
2017-12-01,44428.60576544988
2017-12-04,44445.02135167894
2017-12-05,44461.436937907994
2017-12-06,44477.85252413705
2017-12-07,44494.26811036611
2017-12-08,44510.683696595166
2017-12-11,44527.09928282422
2017-12-12,44543.51486905328
2017-12-13,44559.93045528234
2017-12-14,44576.346041511395
2017-12-15,44592.76162774045
2017-12-18,44609.17721396951
2017-12-19,44625.59280019857
2017-12-20,44642.008386427624
2017-12-21,44658.42397265668
2017-12-22,44674.83955888574
2017-12-26,44691.255145114796
2017-12-27,44707.67073134385
2017-12-28,44724.08631757291
2018-01-02,44740.50190380197
2018-01-03,44756.917490031024
2018-01-04,44773.33307626008
2018-01-05,44789.74866248914
2018-01-08,44806.164248718196
2018-01-09,44822.57983494725
2018-01-10,44838.99542117631
2018-01-11,44855.41100740537
2018-01-12,44871.826593634425
2018-01-15,44888.24217986348
2018-01-16,44904.65776609254
2018-01-17,44921.0733523216
2018-01-18,44937.488938550654
2018-01-19,44953.90452477971
2018-01-22,44970.32011100877
2018-01-23,44986.735697237826
2018-01-24,45003.15128346688
2018-01-25,45019.56686969594
2018-01-26,45035.982455925
2018-01-29,45052.398042154055
2018-01-30,45068.81362838311
2018-01-31,45085.22921461217
2018-02-01,45101.644800841226
2018-02-02,45118.06038707028
2018-02-05,45134.47597329934
2018-02-06,45150.8915595284
2018-02-07,45167.307145757455
2018-02-08,45183.72273198651
2018-02-09,45200.13831821557
2018-02-12,45216.55390444463
2018-02-13,45232.969490673684
2018-02-14,45249.38507690274
2018-02-19,45265.8006631318
2018-02-20,45282.216249360856
2018-02-21,45298.63183558991
2018-02-22,45315.04742181897
2018-02-23,45331.46300804803
2018-02-26,45347.878594277085
2018-02-27,45364.29418050614
2018-02-28,45380.7097667352
2018-03-02,45397.125352964256
2018-03-05,45413.54093919331
2018-03-06,45429.95652542237
2018-03-07,45446.37211165143
2018-03-08,45462.787697880485
2018-03-09,45479.20328410954
2018-03-12,45495.6188703386
2018-03-13,45512.03445656766
2018-03-14,45528.450042796714
2018-03-15,45544.86562902577
2018-03-16,45561.28121525483
2018-03-19,45577.696801483886
2018-03-20,45594.11238771294
2018-03-21,45610.527973942
2018-03-22,45626.94356017106
2018-03-23,45643.359146400115
2018-03-26,45659.77473262917
2018-03-27,45676.19031885823
2018-03-28,45692.60590508729
2018-03-29,45709.02149131634
2018-03-30,45725.4370775454
2018-04-02,45741.85266377446
2018-04-03,45758.268250003515
2018-04-04,45774.68383623257
2018-04-05,45791.09942246163
2018-04-06,45807.51500869069
2018-04-09,45823.930594919744
2018-04-10,45840.3461811488
2018-04-11,45856.76176737786
2018-04-12,45873.177353606916
2018-04-13,45889.59293983597
2018-04-16,45906.00852606503
2018-04-17,45922.42411229409
2018-04-18,45938.839698523145
2018-04-19,45955.2552847522
2018-04-20,45971.67087098126
2018-04-23,45988.08645721032
2018-04-24,46004.502043439374
2018-04-25,46020.91762966843
2018-04-26,46037.33321589749
2018-04-27,46053.748802126545
2018-04-30,46070.1643883556
2018-05-02,46086.57997458466
2018-05-03,46102.99556081372
2018-05-04,46119.411147042774
2018-05-08,46135.82673327183
2018-05-09,46152.24231950089
2018-05-10,46168.657905729946
2018-05-11,46185.073491959
2018-05-14,46201.48907818806
2018-05-15,46217.90466441712
2018-05-16,46234.320250646175
2018-05-17,46250.73583687523
2018-05-18,46267.15142310429
2018-05-21,46283.56700933335
2018-05-23,46299.982595562404
2018-05-24,46316.39818179146
2018-05-25,46332.81376802052
2018-05-28,46349.229354249575
2018-05-29,46365.64494047863
2018-05-30,46382.06052670769
2018-05-31,46398.47611293675
2018-06-01,46414.891699165804
2018-06-04,46431.30728539486
2018-06-05,46447.72287162392
2018-06-07,46464.138457852976
2018-06-08,46480.55404408203
2018-06-11,46496.96963031109
2018-06-12,46513.38521654015
2018-06-14,46529.800802769205
2018-06-15,46546.21638899826
2018-06-18,46562.63197522732
2018-06-19,46579.04756145638
2018-06-20,46595.463147685434
2018-06-21,46611.87873391449
2018-06-22,46628.29432014355
2018-06-25,46644.709906372605
2018-06-26,46661.12549260166
2018-06-27,46677.54107883072
2018-06-28,46693.95666505978
2018-06-29,46710.372251288834
2018-07-02,46726.78783751789
2018-07-03,46743.20342374695
2018-07-04,46759.619009976006
2018-07-05,46776.03459620506
2018-07-06,46792.45018243412
2018-07-09,46808.86576866318
2018-07-10,46825.281354892235
2018-07-11,46841.69694112129
2018-07-12,46858.11252735035
2018-07-13,46874.52811357941
2018-07-16,46890.943699808464
2018-07-17,46907.35928603752
2018-07-18,46923.77487226658
2018-07-19,46940.190458495636
2018-07-20,46956.60604472469
2018-07-23,46973.02163095375
2018-07-24,46989.43721718281
2018-07-25,47005.852803411864
2018-07-26,47022.26838964092
2018-07-27,47038.68397586998
2018-07-30,47055.099562099036
2018-07-31,47071.51514832809
2018-08-01,47087.93073455715
2018-08-02,47104.34632078621
2018-08-03,47120.761907015265
2018-08-06,47137.17749324432
2018-08-07,47153.59307947338
2018-08-08,47170.00866570244
2018-08-09,47186.424251931494
2018-08-10,47202.83983816055
2018-08-13,47219.25542438961
2018-08-14,47235.671010618666
2018-08-16,47252.08659684772
2018-08-17,47268.50218307678
2018-08-20,47284.91776930584
2018-08-21,47301.333355534895
2018-08-22,47317.74894176395
2018-08-23,47334.16452799301
2018-08-24,47350.580114222066
2018-08-27,47366.99570045112
2018-08-28,47383.41128668018
2018-08-29,47399.82687290924
2018-08-30,47416.242459138295
2018-08-31,47432.65804536735
2018-09-03,47449.07363159641
2018-09-04,47465.48921782547
2018-09-05,47481.904804054524
2018-09-06,47498.32039028358
2018-09-07,47514.73597651264
2018-09-10,47531.151562741696
2018-09-11,47547.56714897075
2018-09-12,47563.98273519981
2018-09-13,47580.39832142887
2018-09-14,47596.813907657925
2018-09-17,47613.22949388698
2018-09-18,47629.64508011604
2018-09-19,47646.060666345096
2018-09-20,47662.47625257415
2018-09-21,47678.89183880321
2018-09-27,47695.30742503227
2018-09-28,47711.723011261325
2018-10-01,47728.13859749038
2018-10-02,47744.55418371944
2018-10-04,47760.9697699485
2018-10-05,47777.385356177554
2018-10-08,47793.80094240661
2018-10-10,47810.21652863567
2018-10-11,47826.632114864726
2018-10-12,47843.04770109378
2018-10-15,47859.46328732284
2018-10-16,47875.8788735519
2018-10-17,47892.294459780955
2018-10-18,47908.71004601001
